Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,21.36802973977695,-0.12827508,1.1356343013137133,1.1356343013137133,1.0
24000,1.4157124,23.302231237322516,-0.04972963,1.3301619011380894,1.3301619011380894,1.0
36000,1.4030567,26.70967741935484,0.07501095,1.6592165124581157,1.6592165124581157,1.0
48000,1.391978,35.806748466257666,0.2761912,2.5828220880836064,2.5828220880836064,1.0
60000,1.3809774,48.46058091286307,0.53335184,3.85454571493401,3.85454571493401,1.0
72000,1.3697462,71.27710843373494,0.80398136,6.11506101309535,6.11506101309535,1.0
84000,1.3592225,139.32558139534885,1.1401229,12.909304336059925,12.909304336059925,1.0
96000,1.3490932,296.1190476190476,1.4890718,27.326194436777207,27.326194436777207,1.0
108000,1.3407698,694.7058823529412,2.2019138,66.8176570780137,66.8176570780137,1.0
120000,1.3264655,789.4,2.6631782,78.67334518432617,78.67334518432617,1.0
132000,1.3171102,937.3846153846154,3.1283276,93.58462993915265,93.58462993915265,1.0
144000,1.3067117,999.0,3.6937857,100.00001525878906,100.00001525878906,1.0
156000,1.3071438,960.5384615384615,4.268775,96.06924526508038,96.06924526508038,1.0
168000,1.3036475,860.7692307692307,4.619914,85.9230899810791,85.9230899810791,1.0
180000,1.3022466,999.0,4.9008546,100.00001525878906,100.00001525878906,1.0
192000,1.3020183,926.3846153846154,5.2425647,92.653860275562,92.653860275562,1.0
204000,1.3028313,925.3076923076923,5.673707,92.54616792385394,92.54616792385394,1.0
216000,1.3025874,944.3076923076923,6.1128235,94.4461681659405,94.4461681659405,1.0
228000,1.3020866,999.0,6.360014,100.00001525878906,100.00001525878906,1.0
240000,1.3022091,999.0,6.586639,100.00001525878906,100.00001525878906,1.0
252000,1.3032575,999.0,6.8103695,100.00001525878906,100.00001525878906,1.0
264000,1.3042428,948.4615384615385,7.0341086,94.86155319213867,94.86155319213867,1.0
276000,1.3046455,999.0,7.2919765,100.00001525878906,100.00001525878906,1.0
288000,1.3068038,927.0833333333334,7.4857144,87.45385962266188,87.45385962266188,1.0
300000,1.3080773,999.0,7.70155,100.00001525878906,100.00001525878906,1.0
312000,1.3057901,953.3076923076923,7.8977213,95.17693739670973,95.17693739670973,1.0
324000,1.3104308,925.8461538461538,7.9617133,92.60001409970798,92.60001409970798,1.0
336000,1.3112037,968.25,8.330544,96.83334827423096,96.83334827423096,1.0
348000,1.310431,974.0,8.50497,97.2250150044759,97.2250150044759,1.0
360000,1.3145596,856.1428571428571,8.367024,85.47858459608895,85.47858459608895,1.0
372000,1.3127258,898.4285714285714,8.572259,89.78572784151349,89.78572784151349,1.0
384000,1.3146596,999.0,8.97613,100.00001525878906,100.00001525878906,1.0
396000,1.3156358,999.0,9.126948,100.00001525878906,100.00001525878906,1.0
408000,1.3159248,999.0,9.254811,100.00001525878906,100.00001525878906,1.0
420000,1.3164461,999.0,9.395795,100.00001525878906,100.00001525878906,1.0
432000,1.3157766,942.3076923076923,9.506024,94.16155242919922,94.16155242919922,1.0
444000,1.315149,999.0,9.623362,100.00001525878906,100.00001525878906,1.0
456000,1.3136352,999.0,9.72139,100.00001525878906,100.00001525878906,1.0
468000,1.3131646,999.0,9.813858,100.00001525878906,100.00001525878906,1.0
480000,1.3127859,934.3333333333334,9.843535,93.44168090820312,93.44168090820312,1.0
492000,1.3122536,999.0,9.907815,100.00001525878906,100.00001525878906,1.0
